,,,,,,,,,  TF,IDF,TF-IDF
46,2016-06-01 16:49,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,196,e122,64,47,61,0.326530612,0.113231977,0.036973707
47,2016-06-01 16:57,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,186,e16,3,3,61,0.016129032,1.30820858,0.021100138
47,2016-06-01 16:57,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,186,e18,29,34,61,0.155913978,0.253850918,0.039578907
47,2016-06-01 16:57,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,186,e32,4,26,61,0.021505376,0.370356487,0.007964656
47,2016-06-01 16:57,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,186,e34,1,45,61,0.005376344,0.132117321,0.000710308
47,2016-06-01 16:57,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,186,e55,18,37,61,0.096774194,0.217128111,0.021012398
47,2016-06-01 16:57,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,186,e65,1,12,61,0.005376344,0.706148589,0.003796498
47,2016-06-01 16:57,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,186,e69,1,52,61,0.005376344,0.069326491,0.000372723
47,2016-06-01 16:57,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,186,e84,5,35,61,0.02688172,0.241261791,0.006485532
47,2016-06-01 16:57,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,186,e89,7,36,61,0.037634409,0.229027334,0.008619308
47,2016-06-01 16:57,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,186,e90,51,39,61,0.274193548,0.194265228,0.053266272
47,2016-06-01 16:57,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,186,e92,2,17,61,0.010752688,0.554880914,0.005966461
47,2016-06-01 16:57,10,ISMM-1 SNIPER SQL Query Injection Vulnerability(;DECLARE%20@) Sql_Injection,186,e115,1,10,61,0.005376344,0.785329835,0.004222203
